invoice_id,invoice_date,posting_date,store_id,customer_id,product_id,quantity,unit_price,gross_amount,discount_amount,net_amount,created_by,store_name,city,region,customer_name,customer_type,join_date
INV000001,2024-03-23,2024-03-25,S005,C001,P020,6,249000,1494000,201300.0,1292700.0,u_andika,RetailCo Denpasar Point,Denpasar,Bali,Hadi Santoso,Online,2022-07-18
INV000002,2024-02-27,2024-02-28,S003,C031,P002,4,299000,1196000,108000.0,1088000.0,u_bella,RetailCo Surabaya Center,Surabaya,Jawa Timur,Dian Syahputra,Retail,2023-02-28
INV000003,2024-02-13,2024-02-16,S004,C009,P025,9,149000,1341000,194900.0,1146100.0,u_citra,RetailCo Medan Square,Medan,Sumatera Utara,Wahyu Utomo,Retail,2022-03-17
INV000004,2024-12-03,2024-12-04,S005,C022,P009,9,299000,2691000,556000.0,2135000.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Vina Pratama,Retail,2021-03-07
INV000005,2024-04-18,2024-04-20,S002,C040,P013,6,249000,1494000,124900.0,1369100.0,u_hanif,RetailCo Mall Bandung,Bandung,Jawa Barat,Andi Syahputra,Wholesale,2023-09-28
INV000006,2024-03-02,2024-03-02,S002,C009,P011,1,299000,299000,25000.0,274000.0,u_dwi,RetailCo Mall Bandung,Bandung,Jawa Barat,Wahyu Utomo,Retail,2022-03-17
INV000007,2024-10-28,2024-10-28,S001,C010,P023,1,149000,149000,31400.0,117600.0,u_bella,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Wahyu Saputra,Retail,2023-02-18
INV000008,2024-01-17,2024-01-18,S001,C066,P008,5,349000,1745000,268200.0,1476800.0,u_hanif,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Galih Putra,Wholesale,2021-05-01
INV000009,2024-04-19,2024-04-21,S002,C074,P019,8,149000,1192000,80000.0,1112000.0,u_hanif,RetailCo Mall Bandung,Bandung,Jawa Barat,Nadia Wijaya,Online,2022-04-27
INV000010,2024-07-27,2024-07-27,S001,C013,P022,7,199000,1393000,192200.0,1200800.0,u_gita,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Agus Wijaya,Online,2022-08-24
INV000011,2024-07-29,2024-07-30,S001,C013,P002,7,349000,2443000,165100.0,2277900.0,u_fajar,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Agus Wijaya,Online,2022-08-24
INV000012,2024-02-25,2024-02-25,S002,C025,P018,8,149000,1192000,80300.0,1111700.0,u_gita,RetailCo Mall Bandung,Bandung,Jawa Barat,Nanda Pangestu,Wholesale,2023-07-29
INV000013,2024-04-03,2024-04-04,S004,C032,P003,8,299000,2392000,279700.0,2112300.0,u_bella,RetailCo Medan Square,Medan,Sumatera Utara,Agus Syahputra,Wholesale,2023-12-20
INV000014,2024-01-26,2024-01-29,S005,C002,P003,4,149000,596000,0.0,596000.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Putri Hidayat,Retail,2021-07-29
INV000015,2024-09-05,2024-09-06,S002,C052,P002,3,249000,747000,0.0,747000.0,u_andika,RetailCo Mall Bandung,Bandung,Jawa Barat,Dewi Hidayat,Retail,2021-03-06
INV000016,2024-07-18,2024-07-19,S004,C037,P014,9,349000,3141000,190500.0,2950500.0,u_hanif,RetailCo Medan Square,Medan,Sumatera Utara,Iqbal Kusuma,Online,2021-08-06
INV000017,2024-03-20,2024-03-20,S003,C028,P002,10,349000,3490000,101600.0,3388400.0,u_andika,RetailCo Surabaya Center,Surabaya,Jawa Timur,Mega Kurniawan,Wholesale,2022-03-26
INV000018,2024-06-09,2024-06-09,S001,C075,P016,9,299000,2691000,328300.0,2362700.0,u_citra,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Bayu Saputra,Online,2022-05-20
